,50ms,100ms,150ms,200ms,250ms,500ms
0.1%,27.550142720000004,27.65014272,27.750142720000003,27.85014272,27.950142720000002,28.450142720000002
0.5%,27.659833600000002,27.7598336,27.8598336,27.9598336,28.0598336,28.5598336
1%,27.796947200000005,27.896947200000003,27.996947200000005,28.096947200000002,28.196947200000004,28.696947200000004
1.5%,27.9340608,28.0340608,28.1340608,28.234060799999998,28.3340608,28.8340608
2%,28.071174400000004,28.1711744,28.271174400000003,28.3711744,28.471174400000002,28.971174400000002
5%,28.893856000000007,28.993856000000005,29.093856000000006,29.193856000000004,29.293856000000005,29.793856000000005
