,50ms,100ms,150ms,200ms,250ms,500ms
0.1%,32.0807488,32.1807488,32.2807488,32.3807488,32.4807488,32.9807488
0.5%,32.208544,32.308544000000005,32.408544,32.508544,32.608544,33.108544
1%,32.368288,32.468288,32.568287999999995,32.668288,32.768288,33.268288
1.5%,32.528032,32.628032000000005,32.728032,32.828032,32.928032,33.428032
2%,32.687776,32.787776,32.887775999999995,32.987776,33.087776,33.587776
5%,33.646240000000006,33.74624000000001,33.84624,33.94624,34.046240000000004,34.546240000000004
