,50ms,100ms,150ms,200ms,250ms,500ms
0.1%,28.083155200000004,28.1831552,28.283155200000003,28.3831552,28.483155200000002,28.983155200000002
0.5%,28.194976000000004,28.294976000000002,28.394976000000003,28.494976,28.594976000000003,29.094976000000003
1%,28.334752000000005,28.434752000000003,28.534752000000005,28.634752000000002,28.734752000000004,29.234752000000004
1.5%,28.474528000000003,28.574528,28.674528000000002,28.774528,28.874528,29.374528
2%,28.614304000000004,28.714304000000002,28.814304000000003,28.914304,29.014304000000003,29.514304000000003
5%,29.452960000000008,29.552960000000006,29.652960000000007,29.752960000000005,29.852960000000007,30.352960000000007
